1,2009-01-05 16:42,bibliography with cck & views
2,2009-01-05 16:47,'one touch tune' for the ft897
3,2009-01-05 08:57,Site Status Monitor for Drupal
4,2009-01-06 09:00,Free Wifi Hotspots in Galway - Mapping Project
5,2009-02-05 09:20,Free Technical Books
6,2009-01-11 09:51,First Moon Picture
7,2009-02-24 10:08,Antenna Feedthrough Panel
8,2009-02-24 10:10,The New Shack
9,2009-03-16 10:14,20m Moxon for Portable Use
10,2009-03-18 10:18,CASHOTA-Ireland Activation
11,2009-07-06 10:41,Kaminsky DNS bug Alive and Well at Eircom
12,2009-07-07 10:44,Eircom wins HSE Datawarehousing Contract
13,2009-07-29 10:45,WA1ZMS Transatlantic VHF Beacon gets Upgrade
14,2009-09-04 10:50,APRS
15,2009-10-25 10:52,Palm Pre First Impressions
16,2009-11-16 10:55,Galway VHF Group APRS Digipeater - EI2GCP
17,2010-02-10 10:57,X10 Home Automation with SMS
18,2010-06-26 11:42,New Galway Hackerspace
19,2010-08-07 11:44,Asterisk Workshop at 091 Labs
20,2011-03-23 11:46,Open Streetmaps
21,2011-07-07 11:48,Image Mosaic QR Codes
22,2013-05-27 11:49,Rails Girls Galway
23,2013-08-20 11:51,Worst. Spam. Ever.
24,2014-02-06 11:58,Open Streetmaps Revisited
25,2014-02-14 12:00,Rails Girls Galway 2.0
26,2014-10-21 12:02,Chirp Files for Baofeng B5 and Wouxun UVD1P (4m version)
27,2014-11-10 12:04,Flashing OpenWRT on TPlink 703n v1.7
28,2014-11-21 13:20,Mobile APRS with Icom IC7100 and mobilinkd
29,2014-12-02 13:23,Raspberry Pi Wobbulator
30,2014-12-04 13:25,KIM Uno - 6502 emulated on Arduino
31,2014-12-11 13:28,EI2GCP - APRS Weather Station & Digipeater live in Galway
32,2014-12-16 13:32,Authentication Bypass on Zyxel D1000 (Eircom) Router
33,2014-12-18 13:35,Arch Linux Upgrade Breaks EFI Dual-Boot
34,2015-01-04 13:38,Signal Generator using Adafruit SI5351 Clock Generator
35,2015-02-26 13:42,Thrustmaster F22 USB Conversion
36,2015-03-04 13:44,Homebrewing an Off-centre Fed Dipole
37,2015-03-13 13:46,Thrustmaster F22 USB Conversion - Part 2
38,2015-03-20 13:49,Converting Suncom SFS Throttle to USB
39,2015-07-21 13:51,My Quest for Blinkenlights
40,2015-07-23 13:53,Building the PiDP8/i
41,2015-08-25 15:00,Proton Mail Open-Sourced
42,2015-09-01 15:02,Asus N56VZ Shutdown Problem with HDD Caddy
43,2015-12-02 15:05,Lithium Ion Batteries for the Yaesu FT817
44,2016-02-10 15:10,Adding an Antenna Jack to the Mattel Im-Me
45,2016-03-24 15:14,Testing 2m Yagi for Portable Use
46,2016-03-30 15:17,HackRF One + CubicSDR on Ubuntu 15.10
47,2016-05-13 15:21,Plotting Antenna Response using a Wobbulator and Return Loss Bridge
48,2016-05-17 15:34,a small matching unit to use the watson w2000 triband antenna on 70mhz
49,2016-06-16 16:19,SSTV on Raspberry Pi
50,2016-06-20 14:27,Hacking my Keyfob with HackRF
51,2016-08-10 22:38,Morse Code Beacon for the Raspberry Pi
52,2016-08-12 22:41,Building mcHF: a Next-Generation QRP SDR kit
53,2017-01-20 22:44,Reflashing the SamKnows TP Link Router
54,2017-01-30 22:45,Reflashing the Meraki MR12 AP with OpenWRT
55,2017-02-07 22:47,Parental Control using OpenWRT
56,2017-02-09 09:26,DIY 10dB Pi-Attenuator
57,2017-02-17 08:49,Building KV4QB's SNA Jr II
58,2017-03-02 09:16,New run of the Sparetime Gizmos SBC6120
59,2017-03-13 13:01,mcHF: a Next-Generation QRP SDR kit - Part II
60,2017-03-13 13:48,An Amplitude Modulator for use with my Feeltech FY3024 Signal Generator
61,2017-04-19 16:26,DIY Wonder Loop QRP Antenna
62,2017-06-02 11:40,Building DVMega Digital Voice Modem
63,2017-06-08 13:49,SBC6120 - RetroBrew Computers Edition
64,2017-08-10 14:16,Configuring DNSCrypt on OpenWRT
65,2017-08-16 10:47,Building KV4QB's S9 Signal Generator
66,2017-09-27 16:25,Using Letsencrypt with Cloudflare
67,2017-10-09 08:40,Baofeng vs. ICOM
68,2017-10-10 15:30,Bittrex.com Unicode URL phishing scam
69,2017-10-23 11:55,Bitcoin full-node on Raspberry Pi with NFS storage
